Lat,Long,Type ,Year 
38.8981,-77.0209,CapOne,CapOne
38.893,-76.913,Single_Gunshot,2014
38.832,-76.997,Multiple_Gunshots,2014
38.827,-77.008,Multiple_Gunshots,2014
38.897,-76.934,Multiple_Gunshots,2014
38.882,-76.936,Multiple_Gunshots,2015
38.88,-76.938,Multiple_Gunshots,2015
38.849,-76.969,Multiple_Gunshots,2015
38.86,-76.991,Multiple_Gunshots,2015
38.844,-76.998,Multiple_Gunshots,2015
38.827,-77.006,Gunshot_or_Firecracker,2015
38.914,-77.008,Multiple_Gunshots,2015
38.823,-77.002,Multiple_Gunshots,2016
38.92,-76.98,Single_Gunshot,2016
38.827,-76.997,Single_Gunshot,2016
38.921,-77.009,Single_Gunshot,2016
38.904,-76.933,Multiple_Gunshots,2016
38.904,-76.933,Multiple_Gunshots,2016
38.902,-76.938,Single_Gunshot,2016
38.887,-76.937,Multiple_Gunshots,2016
38.886,-76.925,Gunshot_or_Firecracker,2016
38.873,-77.016,Gunshot_or_Firecracker,2016
38.897,-76.942,Multiple_Gunshots,2016
38.828,-76.992,Gunshot_or_Firecracker,2016
38.846,-76.978,Single_Gunshot,2016
38.881,-76.932,Single_Gunshot,2016
38.882,-76.936,Single_Gunshot,2016
38.905,-76.949,Multiple_Gunshots,2016
38.86,-76.992,Multiple_Gunshots,2016
38.899,-76.95,Gunshot_or_Firecracker,2016
38.832,-77.006,Gunshot_or_Firecracker,2016
38.875,-77.015,Gunshot_or_Firecracker,2016
38.905,-76.938,Multiple_Gunshots,2016
38.905,-76.938,Multiple_Gunshots,2016
38.875,-77.013,Multiple_Gunshots,2016
38.893,-76.916,Multiple_Gunshots,2016
38.857,-76.974,Single_Gunshot,2016
38.896,-76.941,Multiple_Gunshots,2016
38.889,-76.936,Multiple_Gunshots,2016
38.911,-76.939,Single_Gunshot,2016
38.911,-76.939,Multiple_Gunshots,2016
38.854,-76.993,Multiple_Gunshots,2016
38.832,-76.993,Multiple_Gunshots,2016
38.908,-76.988,Single_Gunshot,2016
38.889,-76.959,Single_Gunshot,2016
38.845,-76.979,Single_Gunshot,2016
38.887,-76.956,Single_Gunshot,2016
38.954,-77.021,Single_Gunshot,2016
38.943,-77.024,Single_Gunshot,2016
38.84,-76.994,Multiple_Gunshots,2016
38.84,-76.994,Multiple_Gunshots,2016
38.934,-76.972,Multiple_Gunshots,2016
38.89,-76.958,Multiple_Gunshots,2016
38.886,-76.953,Multiple_Gunshots,2016
38.847,-77.004,Multiple_Gunshots,2016
38.89,-76.959,Multiple_Gunshots,2016
38.834,-77,Single_Gunshot,2016
38.856,-76.974,Multiple_Gunshots,2016
38.839,-76.997,Multiple_Gunshots,2016
38.932,-77.03,Multiple_Gunshots,2016
38.836,-76.995,Single_Gunshot,2016
38.896,-76.919,Single_Gunshot,2016
38.911,-76.998,Single_Gunshot,2016
38.854,-76.971,Multiple_Gunshots,2016
38.893,-76.914,Multiple_Gunshots,2016
38.904,-76.942,Single_Gunshot,2016
38.887,-76.954,Multiple_Gunshots,2016
38.897,-76.941,Multiple_Gunshots,2016
38.896,-76.941,Multiple_Gunshots,2016
38.9,-76.973,Multiple_Gunshots,2016
38.907,-77.007,Multiple_Gunshots,2016
38.855,-76.972,Single_Gunshot,2016
38.859,-76.989,Multiple_Gunshots,2016
38.874,-77.013,Single_Gunshot,2016
38.912,-76.935,Multiple_Gunshots,2016
38.946,-77.021,Multiple_Gunshots,2016
38.946,-77.021,Single_Gunshot,2016
38.897,-76.941,Multiple_Gunshots,2016
38.925,-76.986,Multiple_Gunshots,2016
38.896,-76.928,Single_Gunshot,2016
38.847,-76.982,Single_Gunshot,2016
38.874,-76.927,Multiple_Gunshots,2016
38.93,-77.035,Multiple_Gunshots,2016
38.946,-77.019,Single_Gunshot,2016
38.909,-77.009,Single_Gunshot,2016
38.943,-77.018,Multiple_Gunshots,2016
38.944,-77.025,Multiple_Gunshots,2016
38.921,-76.977,Single_Gunshot,2016
38.944,-77.017,Multiple_Gunshots,2016
38.905,-76.95,Multiple_Gunshots,2016
38.905,-76.95,Single_Gunshot,2016
38.911,-77.021,Multiple_Gunshots,2016
38.912,-77.02,Multiple_Gunshots,2016
38.896,-76.918,Single_Gunshot,2016
38.923,-77.036,Single_Gunshot,2016
38.893,-76.926,Gunshot_or_Firecracker,2016
38.894,-76.917,Gunshot_or_Firecracker,2016
38.862,-76.994,Multiple_Gunshots,2016
38.889,-76.954,Multiple_Gunshots,2016
38.851,-76.973,Gunshot_or_Firecracker,2016
38.881,-76.937,Single_Gunshot,2016
38.892,-76.941,Multiple_Gunshots,2016
38.901,-76.947,Single_Gunshot,2016
38.955,-77.022,Single_Gunshot,2016
38.892,-76.922,Single_Gunshot,2016
38.948,-77.022,Multiple_Gunshots,2016
38.948,-77.023,Multiple_Gunshots,2016
38.907,-76.939,Multiple_Gunshots,2016
38.905,-76.938,Multiple_Gunshots,2016
38.894,-76.917,Single_Gunshot,2016
38.839,-76.993,Single_Gunshot,2016
38.839,-76.992,Gunshot_or_Firecracker,2016
38.85,-76.973,Gunshot_or_Firecracker,2016
38.898,-76.919,Single_Gunshot,2016
38.905,-76.931,Multiple_Gunshots,2016
38.884,-76.921,Single_Gunshot,2016
38.883,-76.935,Multiple_Gunshots,2016
38.847,-76.977,Multiple_Gunshots,2016
38.862,-76.982,Single_Gunshot,2016
38.862,-76.982,Multiple_Gunshots,2016
38.832,-76.988,Single_Gunshot,2016
38.863,-76.973,Multiple_Gunshots,2016
38.842,-76.997,Multiple_Gunshots,2016
38.842,-76.997,Multiple_Gunshots,2016
38.864,-76.983,Single_Gunshot,2016
38.863,-76.982,Single_Gunshot,2016
38.863,-76.98,Single_Gunshot,2016
38.844,-76.977,Single_Gunshot,2016
38.844,-76.977,Multiple_Gunshots,2016
38.898,-76.922,Multiple_Gunshots,2016
38.882,-76.947,Multiple_Gunshots,2016
38.924,-77.003,Single_Gunshot,2016
38.892,-76.912,Multiple_Gunshots,2016
38.854,-76.991,Gunshot_or_Firecracker,2016
38.858,-76.996,Multiple_Gunshots,2016
38.845,-76.981,Multiple_Gunshots,2016
38.862,-76.981,Single_Gunshot,2016
38.862,-76.981,Single_Gunshot,2016
38.818,-76.996,Gunshot_or_Firecracker,2016
38.936,-76.96,Gunshot_or_Firecracker,2016
38.863,-76.988,Multiple_Gunshots,2016
38.86,-76.997,Multiple_Gunshots,2016
38.825,-77.003,Multiple_Gunshots,2016
38.863,-76.986,Multiple_Gunshots,2016
38.863,-76.987,Multiple_Gunshots,2016
38.849,-76.976,Multiple_Gunshots,2016
38.883,-76.948,Multiple_Gunshots,2016
38.89,-76.934,Multiple_Gunshots,2016
38.842,-76.987,Single_Gunshot,2016
38.892,-76.952,Single_Gunshot,2016
38.832,-76.992,Single_Gunshot,2016
38.889,-76.917,Single_Gunshot,2016
38.9,-76.94,Single_Gunshot,2016
38.923,-77.033,Single_Gunshot,2016
38.879,-77.018,Single_Gunshot,2016
38.846,-76.999,Multiple_Gunshots,2016
38.848,-77.01,Multiple_Gunshots,2016
38.828,-77.007,Single_Gunshot,2016
38.893,-76.962,Multiple_Gunshots,2016
38.834,-76.99,Multiple_Gunshots,2016
38.849,-76.971,Multiple_Gunshots,2016
38.849,-76.971,Multiple_Gunshots,2016
38.834,-76.995,Multiple_Gunshots,2016
38.84,-76.978,Single_Gunshot,2016
38.827,-77.002,Multiple_Gunshots,2016
38.827,-77.003,Gunshot_or_Firecracker,2016
38.85,-76.975,Multiple_Gunshots,2016
38.844,-77,Multiple_Gunshots,2016
38.844,-76.992,Multiple_Gunshots,2016
38.839,-76.992,Single_Gunshot,2016
38.898,-76.976,Single_Gunshot,2016
38.898,-76.976,Single_Gunshot,2016
38.916,-76.99,Gunshot_or_Firecracker,2016
38.854,-76.971,Gunshot_or_Firecracker,2016
38.898,-76.917,Single_Gunshot,2016
38.899,-76.944,Multiple_Gunshots,2016
38.884,-76.941,Single_Gunshot,2016
38.851,-77.01,Gunshot_or_Firecracker,2016
38.833,-77.006,Multiple_Gunshots,2016
38.906,-77.011,Single_Gunshot,2016
38.905,-76.95,Single_Gunshot,2016
38.901,-76.993,Single_Gunshot,2016
38.894,-76.935,Single_Gunshot,2016
38.884,-76.921,Single_Gunshot,2016
38.845,-76.999,Gunshot_or_Firecracker,2016
38.861,-76.984,Gunshot_or_Firecracker,2016
38.846,-76.998,Multiple_Gunshots,2016
38.845,-76.984,Multiple_Gunshots,2016
38.862,-76.986,Multiple_Gunshots,2016
38.845,-76.985,Single_Gunshot,2016
38.843,-76.985,Multiple_Gunshots,2016
38.885,-76.988,Gunshot_or_Firecracker,2016
38.828,-76.997,Single_Gunshot,2016
38.828,-76.997,Single_Gunshot,2016
38.834,-76.996,Multiple_Gunshots,2016
38.949,-77.021,Single_Gunshot,2016
38.949,-77.026,Multiple_Gunshots,2016
38.881,-76.925,Single_Gunshot,2016
38.833,-77.006,Multiple_Gunshots,2016
38.882,-76.943,Multiple_Gunshots,2016
38.827,-76.998,Single_Gunshot,2016
38.922,-76.978,Single_Gunshot,2016
38.827,-77,Single_Gunshot,2016
38.862,-76.935,Single_Gunshot,2016
38.907,-77.002,Single_Gunshot,2016
38.885,-76.95,Multiple_Gunshots,2017
38.844,-76.976,Multiple_Gunshots,2017
38.874,-77.014,Single_Gunshot,2017
38.874,-77.014,Multiple_Gunshots,2017
38.874,-77.014,Single_Gunshot,2017
38.874,-77.014,Multiple_Gunshots,2017
38.874,-77.014,Multiple_Gunshots,2017
38.874,-77.014,Multiple_Gunshots,2017
38.915,-77.022,Multiple_Gunshots,2017
38.844,-76.964,Single_Gunshot,2017
38.881,-76.934,Multiple_Gunshots,2017
38.881,-76.934,Multiple_Gunshots,2017
38.892,-76.914,Single_Gunshot,2017
38.914,-77.023,Gunshot_or_Firecracker,2017
38.857,-76.974,Multiple_Gunshots,2017
38.856,-76.974,Multiple_Gunshots,2017
38.856,-76.968,Single_Gunshot,2017
38.821,-77.007,Single_Gunshot,2017
38.896,-76.923,Single_Gunshot,2017
38.896,-76.923,Single_Gunshot,2017
38.857,-76.974,Multiple_Gunshots,2017
38.829,-76.993,Single_Gunshot,2017
38.862,-76.991,Single_Gunshot,2017
38.952,-77.027,Single_Gunshot,2017
38.821,-76.999,Multiple_Gunshots,2017
38.821,-77,Multiple_Gunshots,2017
38.906,-76.916,Multiple_Gunshots,2017
